,有價證券代號及名稱 
637,3704
638,3705
639,3706
640,3708
641,3711
642,3712
643,3714
644,4104
645,4106
646,4108
647,4119
648,4133
649,4137
650,4141
651,4142
652,4148
653,4155
654,4164
655,4190
656,4306
657,4414
658,4426
659,4438
660,4439
661,4526
662,4532
663,4536
664,4540
665,4545
666,4551
667,4552
668,4555
669,4557
670,4560
671,4562
672,4564
673,4566
674,4571
675,4572
676,4576
677,4581
678,4720
679,4722
680,4737
681,4739
682,4746
683,4755
684,4763
685,4764
686,4766
687,4807
688,4904
689,4906
690,4912
691,4915
692,4916
693,4919
694,4927
695,4930
696,4934
697,4935
698,4938
699,4942
700,4943
701,4952
702,4956
703,4958
704,4960
705,4961
706,4967
707,4968
708,4976
709,4977
710,4989
711,4994
712,4999
713,5007
714,5203
715,5215
716,5225
717,5234
718,5243
719,5258
720,5269
721,5283
722,5284
723,5285
724,5288
725,5388
726,5434
727,5469
728,5471
729,5484
730,5515
731,5519
732,5521
733,5522
734,5525
735,5531
736,5533
737,5534
738,5538
739,5546
740,5607
741,5608
742,5706
743,5871
744,5876
745,5880
746,5906
747,5907
748,6005
749,6024
750,6108
751,6112
752,6115
753,6116
754,6117
755,6120
756,6128
757,6133
758,6136
759,6139
760,6141
761,6142
762,6152
763,6153
764,6155
765,6164
766,6165
767,6166
768,6168
769,6172
770,6176
771,6177
772,6183
773,6184
774,6189
775,6191
776,6192
777,6196
778,6197
779,6201
780,6202
781,6205
782,6206
783,6209
784,6213
785,6214
786,6215
787,6216
788,6224
789,6225
790,6226
791,6230
792,6235
793,6239
794,6243
795,6251
796,6257
797,6269
798,6271
799,6277
800,6278
801,6281
802,6282
803,6283
804,6285
805,6288
806,6289
807,6405
808,6409
809,6412
810,6414
811,6415
812,6416
813,6426
814,6431
815,6438
816,6442
817,6443
818,6449
819,6451
820,6456
821,6464
822,6477
823,6491
824,6504
825,6505
826,6515
827,6525
828,6531
829,6533
830,6541
831,6552
832,6558
833,6573
834,6579
835,6581
836,6582
837,6591
838,6592
839,6598
840,6605
841,6625
842,6641
843,6655
844,6666
845,6668
846,6669
847,6670
848,6671
849,6672
850,6674
851,6698
852,6706
853,6715
854,6743
